order_id;position_no;quantity;login;factory
1071360;1;11;2025-05-28 09:40:17;Düsseldorf
1071360;1;10;2025-05-28 09:40:17;Düsseldorf
1071360;1;1;2025-05-28 09:40:17;Düsseldorf
1071360;1;1;2025-05-28 09:40:17;Düsseldorf
1071395;1;7;2025-05-28 11:26:10;Düsseldorf
1071400;0;30;2025-05-28 11:44:30;Düsseldorf
1071477;1;1;2025-05-30 08:06:50;Düsseldorf
1071485;1;15;2025-05-30 08:52:47;Düsseldorf
1071485;1;6;2025-05-30 08:52:47;Düsseldorf
1071507;1;0;2025-05-30 10:32:42;Düsseldorf
1071507;0;6;2025-05-30 10:32:42;Düsseldorf
1071667;1;2;2025-06-02 13:42:56;Düsseldorf
1071667;1;0;2025-06-02 13:42:56;Düsseldorf
1071850;1;2;2025-06-04 09:19:03;Düsseldorf
1071961;0;30;2025-06-05 08:03:41;Düsseldorf
1071961;1;2;2025-06-05 08:03:41;Düsseldorf
1071961;0;0;2025-06-05 08:03:41;Düsseldorf
1071982;1;0;2025-06-05 09:36:34;Düsseldorf
1071999;1;0;2025-06-05 10:35:01;Düsseldorf
1071999;0;1;2025-06-05 10:35:01;Düsseldorf
1071999;0;1;2025-06-05 10:35:01;Düsseldorf
1072001;1;1;2025-06-05 10:41:08;Düsseldorf
1072065;1;1;2025-06-05 12:27:07;Düsseldorf
1072079;1;5;2025-06-05 13:26:11;Düsseldorf
1072079;1;0;2025-06-05 13:26:11;Düsseldorf
1072079;0;0;2025-06-05 13:26:11;Düsseldorf
1072079;0;0;2025-06-05 13:26:11;Düsseldorf
1072111;1;1;2025-06-05 15:17:15;Düsseldorf
1072130;1;1;2025-06-06 08:02:42;Düsseldorf
1072167;1;10;2025-06-06 09:32:14;Düsseldorf
1072167;0;2;2025-06-06 09:32:14;Düsseldorf
1072230;1;5;2025-06-06 12:57:27;Düsseldorf
1072408;1;3;2025-06-10 15:36:32;Düsseldorf
1072408;1;2;2025-06-10 15:36:32;Düsseldorf
1072417;1;1;2025-06-10 16:02:13;Düsseldorf
1072433;1;0;2025-06-10 16:58:13;Düsseldorf
1072434;1;1;2025-06-10 17:05:46;Düsseldorf
1072503;1;4;2025-06-11 11:29:32;Düsseldorf
1072503;2;5;2025-06-11 11:29:32;Düsseldorf
1072503;3;5;2025-06-11 11:29:32;Düsseldorf
1072503;4;3;2025-06-11 11:29:32;Düsseldorf
1072503;5;2;2025-06-11 11:29:32;Düsseldorf
1072523;1;1;2025-06-11 12:12:18;Düsseldorf
1072561;1;5;2025-06-11 14:36:25;Düsseldorf
1072561;2;15;2025-06-11 14:36:25;Düsseldorf
1072561;3;15;2025-06-11 14:36:25;Düsseldorf
1072561;4;17;2025-06-11 14:36:25;Düsseldorf
1072561;1;3;2025-06-11 14:36:25;Düsseldorf
1072561;0;0;2025-06-11 14:36:25;Düsseldorf
1072561;0;0;2025-06-11 14:36:25;Düsseldorf
1072561;0;55;2025-06-11 14:36:25;Düsseldorf
1072592;1;0;2025-06-12 08:06:25;Düsseldorf
1072592;0;1;2025-06-12 08:06:25;Düsseldorf
1072601;1;3;2025-06-12 08:11:52;Düsseldorf
1072601;1;1;2025-06-12 08:11:52;Düsseldorf
1072696;1;2;2025-06-12 14:19:27;Düsseldorf
1072713;1;5;2025-06-12 14:53:51;Düsseldorf
1072719;1;9;2025-06-12 15:14:50;Düsseldorf
1072719;1;20;2025-06-12 15:14:50;Düsseldorf
1072720;1;1;2025-06-12 15:15:14;Düsseldorf
1072755;1;2;2025-06-13 08:48:49;Düsseldorf
1072755;2;1;2025-06-13 08:48:49;Düsseldorf
1072755;3;2;2025-06-13 08:48:49;Düsseldorf
1072877;1;1;2025-06-16 08:38:03;Düsseldorf
1072966;1;2;2025-06-16 12:14:50;Düsseldorf
1072995;1;1;2025-06-16 14:04:17;Düsseldorf
1073015;0;40;2025-06-16 15:10:43;Düsseldorf
1073015;0;0;2025-06-16 15:10:43;Düsseldorf
1073015;0;0;2025-06-16 15:10:43;Düsseldorf
1073015;0;0;2025-06-16 15:10:43;Düsseldorf
1073015;0;0;2025-06-16 15:10:43;Düsseldorf
1073124;1;50;2025-06-17 10:57:41;Düsseldorf
1073172;1;1;2025-06-17 14:10:00;Düsseldorf
1073305;1;35;2025-06-18 14:14:43;Düsseldorf
1073463;1;1;2025-06-20 13:55:42;Düsseldorf
1073471;1;1;2025-06-20 14:23:27;Düsseldorf
1073529;1;2;2025-06-23 09:31:29;Düsseldorf
1073606;1;0;2025-06-23 14:14:23;Düsseldorf
1073694;1;1;2025-06-24 09:46:24;Düsseldorf
1073724;1;1;2025-06-24 11:44:20;Düsseldorf
1073730;1;1;2025-06-24 12:22:26;Düsseldorf
1073730;1;1;2025-06-24 12:22:26;Düsseldorf
1073730;1;1;2025-06-24 12:22:26;Düsseldorf
1073730;1;1;2025-06-24 12:22:26;Düsseldorf
